uri,text,language,created_at,author_handle,author_display_name,external_link
at://did:plc:gt2sykjlukypylah7ctg3yzx/app.bsky.feed.post/3loud52jfoc2a,"Timão sai na frente, mas vê Leão Caipira buscar a vitória no segundo tempo em grande atuação coletiva. Memphis Depay perdeu um pênalti
#Mirassol #Corinthians #SCCP #Brasileirão2025 #Jogada10 #J10
jogada10.com.br/galerias/atu...",pt,2025-05-11T01:39:42.949Z,portaljogada10.bsky.social,Jogada 10,https://jogada10.com.br/galerias/atuacoes-do-corinthians-contra-o-mirassol-segundo-tempo-terrivel-custa-a-vitoria/
at://did:plc:mqj64se2243vn7e5264inok2/app.bsky.feed.post/3loud4yl7gs2j,"It's just a *fantastic* play on both ends. #TipYourCap
#SFGiants",en,2025-05-11T01:39:40.911Z,jewelsnbinoculars.bsky.social,Exorbitant Rosin Violation,
at://did:plc:4hvkzp7ubbk7kqnyxxrmq4rq/app.bsky.feed.post/3loud4v7i6c2i,Passou a Dutra todinha rs,pt,2025-05-11T01:39:37.381Z,carloswt.bsky.social,Carlos 🎻 🚂,
at://did:plc:egnysgvogtrpyd57haol53sj/app.bsky.feed.post/3loud4v5hps2y,"P.S. Doubt any of that crowd in my reach here, but if you wanna be like a couple of bike snobs who found me on Mastodon and complain about the ""cheap Chinese crap"" on my list, you're welcome to ask my sizing/need & hit up my Throne to send me surprise gifts of whatever you think is best instead. 🤬🤷",en,2025-05-11T01:39:37.301Z,thoughtpunks.com,Thought Punks 🎲 TTRPGs + Punk 👩‍🎤,
at://did:plc:c4indcm6p5i6qmmpx6iocjle/app.bsky.feed.post/3loud4uu7t22x,"Took a fearful glance at the Rockies score against the Padres.. down 16-0 in the FIFTH inning..🤢🤬🤦‍♂️ My god, just when I thought this team couldn’t suck any worse…👎🏻",en,2025-05-11T01:39:37.012Z,bassman78.bsky.social,Dave Dymek,
at://did:plc:l5lyjtzvlwmnyhi2bn4cxiyk/app.bsky.feed.post/3loud4uu4vc2s,"Made Viennese chocolat chaud, but got it a smidge too sweet",en,2025-05-11T01:39:37.010Z,bschillace.brandyschillace.com,Brandy Schillace,
at://did:plc:i53e6y3liw2oaw4s6e6odw5m/app.bsky.feed.post/3loud4vepha2s,"The U-Boat and Piñata Email Or “How to spice up a boring work social club event” Continue reading on The Humor Pub » 

| Details | Interest | Feed |",la,2025-05-11T01:39:37Z,bluesky.awakari.com,Awakari,https://medium.com/the-humor-pub/the-u-boat-and-pi%C3%B1ata-email-5374d38fc82a?source=rss------business-5
at://did:plc:e3adzvtg56lfn3wpdlfjwnoc/app.bsky.feed.post/3loud4udio22c,A bunch of my newer pants are a size bigger than my old ones and some of them are more snug. It makes no sense.,en,2025-05-11T01:39:36.465Z,ecppdx.bsky.social,ECP,
at://did:plc:adtu5kww7mjppzn7ekvshgtw/app.bsky.feed.post/3loud4txppk2v,"It's SO good I promise

Josh would 100% hack your MyChart to make sure you had ample refills of your happy meds

He'd also hack your bank account to make sure had enough money bc the hospital underpays it's nurses 

& he'd break into your house to make sure you had hot pancakes after a night shift",en,2025-05-11T01:39:36.077Z,andrearae.bsky.social,MedWitchDre,
at://did:plc:jbkryuoe6hic2stvgjuvwdfk/app.bsky.feed.post/3loud4tlh522q,Really?  Anyone that gives her money or takes her advice has to have lost their last marble.  I'm surprised #Felon47 hasn't offered her a Cabinet position. #grifters,en,2025-05-11T01:39:35.676Z,hummingbirdwarrior.bsky.social,Hummingbird Warrior,
at://did:plc:b67fqjralf4oc5bcnatqhjx4/app.bsky.feed.post/3loud4tk55c2l,"This is the one from a few days ago, note the date on the article.",en,2025-05-11T01:39:35.634Z,kmagnacca.bsky.social,Karl Magnacca,
at://did:plc:osginvwpegljkybrcxflpsbt/app.bsky.feed.post/3loud4tfipc2u,it has come to my conclusion that this is a problem of material pricing because a single victaulic quick vic number 10 2 inch 90 degree elbow is FIFTY FUCKING DOLLARS,en,2025-05-11T01:39:35.479Z,recima.libpol.org,recima,
at://did:plc:iuvi4rbic3cdkefbiguwgkey/app.bsky.feed.post/3loud4taw7s2u,"Palantir is probably on the hook for a disturbing amount of war crimes.

No wonder Thiel looks like he’s melting.

www.washingtonpost.com/technology/2...",en,2025-05-11T01:39:35.322Z,tinyklaus.com,ᴋʟᴀᵾs,
at://did:plc:j2fwlvm772xmmynwthd5r45l/app.bsky.feed.post/3loud4t5zh22n,"Had to look it up - yes, I agree - unless used in mechanics or physics as a mechanism to hold back power/speed/combustion, etc.",en,2025-05-11T01:39:35.236Z,saltoearth.bsky.social,Salty,
at://did:plc:6cf5nug5kttrbf5zhemsgtek/app.bsky.feed.post/3loud4t3pa22m,So basically a cabinet in which to put your blender/toaster/etc. We just have so much stuff we leave on the counter because we use it every day and don’t see a point or have a place to put them away.,en,2025-05-11T01:39:35.160Z,drwambsgans.bsky.social,"Tom Wambsgans’ Second Wife, PhD",
at://did:plc:2gqtcezjazv5egclpxylvdqx/app.bsky.feed.post/3loud4sxank2c,"Someone replaced my fingers with potatoes tonight so I gave up playing after 45 min of stupidity & went outside to watch the 3 Accords play down the block on an outdoor stage. It was nice to see a free show with kids running around & college students as security, so relaxed. Montreal, t’es belle.",en,2025-05-11T01:39:35.003Z,lafautive.bsky.social,La Fautive,
